2022-08-02 04:33:33 status unpacked pinentry-curses:amd64 1.1.0-4
2022-08-02 04:33:33 install gpg-agent:amd64 <none> 2.2.27-2+deb11u2
2022-08-02 04:33:33 status half-installed gpg-agent:amd64 2.2.27-2+deb11u2
2022-08-02 04:33:33 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2022-08-02 04:33:33 install gpg-wks-client:amd64 <none> 2.2.27-2+deb11u2
2022-08-02 04:33:33 status half-installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-08-02 04:33:33 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-08-02 04:33:33 install gpg-wks-server:amd64 <none> 2.2.27-2+deb11u2
2022-08-02 04:33:33 status half-installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-08-02 04:33:33 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-08-02 04:33:33 install gpgsm:amd64 <none> 2.2.27-2+deb11u2
2022-08-02 04:33:33 status half-installed gpgsm:amd64 2.2.27-2+deb11u2
2022-08-02 04:33:33 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2022-08-02 04:33:33 install gnupg:all <none> 2.2.27-2+deb11u2
2022-08-02 04:33:33 status half-installed gnupg:all 2.2.27-2+deb11u2
2022-08-02 04:33:33 status unpacked gnupg:all 2.2.27-2+deb11u2
2022-08-02 04:33:33 install libicu67:amd64 <none> 67.1-7
2022-08-02 04:33:33 status half-installed libicu67:amd64 67.1-7
2022-08-02 04:33:34 status unpacked libicu67:amd64 67.1-7
2022-08-02 04:33:34 install icu-devtools:amd64 <none> 67.1-7
2022-08-02 04:33:34 status half-installed icu-devtools:amd64 67.1-7
2022-08-02 04:33:34 status unpacked icu-devtools:amd64 67.1-7
2022-08-02 04:33:34 install libc-dev-bin:amd64 <none> 2.31-13+deb11u3
2022-08-02 04:33:34 status half-installed libc-dev-bin:amd64 2.31-13+deb11u3
2022-08-02 04:33:34 status unpacked libc-dev-bin:amd64 2.31-13+deb11u3
2022-08-02 04:33:34 install linux-libc-dev:amd64 <none> 5.10.127-2
2022-08-02 04:33:34 status half-installed linux-libc-dev:amd64 5.10.127-2
2022-08-02 04:33:34 status unpacked linux-libc-dev:amd64 5.10.127-2
2022-08-02 04:33:34 install libcrypt-dev:amd64 <none> 1:4.4.18-4
2022-08-02 04:33:34 status half-installed libcrypt-dev:amd64 1:4.4.18-4
2022-08-02 04:33:34 status unpacked libcrypt-dev:amd64 1:4.4.18-4
2022-08-02 04:33:34 install libtirpc-dev:amd64 <none> 1.3.1-1
2022-08-02 04:33:34 status half-installed libtirpc-dev:amd64 1.3.1-1
2022-08-02 04:33:34 status unpacked libtirpc-dev:amd64 1.3.1-1
2022-08-02 04:33:34 install libnsl-dev:amd64 <none> 1.3.0-2
2022-08-02 04:33:34 status half-installed libnsl-dev:amd64 1.3.0-2
2022-08-02 04:33:34 status unpacked libnsl-dev:amd64 1.3.0-2
2022-08-02 04:33:34 install libc6-dev:amd64 <none> 2.31-13+deb11u3
2022-08-02 04:33:34 status half-installed libc6-dev:amd64 2.31-13+deb11u3
2022-08-02 04:33:35 status unpacked libc6-dev:amd64 2.31-13+deb11u3
2022-08-02 04:33:35 install uuid-dev:amd64 <none> 2.36.1-8+deb11u1
2022-08-02 04:33:35 status half-installed uuid-dev:amd64 2.36.1-8+deb11u1
2022-08-02 04:33:35 status unpacked uuid-dev:amd64 2.36.1-8+deb11u1
2022-08-02 04:33:35 install libsctp1:amd64 <none> 1.0.18+dfsg-1
2022-08-02 04:33:35 status half-installed libsctp1:amd64 1.0.18+dfsg-1
2022-08-02 04:33:35 status unpacked libsctp1:amd64 1.0.18+dfsg-1
2022-08-02 04:33:35 install libsctp-dev:amd64 <none> 1.0.18+dfsg-1
2022-08-02 04:33:35 status half-installed libsctp-dev:amd64 1.0.18+dfsg-1
2022-08-02 04:33:35 status unpacked libsctp-dev:amd64 1.0.18+dfsg-1
2022-08-02 04:33:35 install libapr1-dev:amd64 <none> 1.7.0-6+deb11u1
2022-08-02 04:33:35 status half-installed libapr1-dev:amd64 1.7.0-6+deb11u1
2022-08-02 04:33:35 status unpacked libapr1-dev:amd64 1.7.0-6+deb11u1
2022-08-02 04:33:35 install libldap2-dev:amd64 <none> 2.4.57+dfsg-3+deb11u1
2022-08-02 04:33:35 status half-installed libldap2-dev:amd64 2.4.57+dfsg-3+deb11u1
2022-08-02 04:33:35 status unpacked libldap2-dev:amd64 2.4.57+dfsg-3+deb11u1
2022-08-02 04:33:35 install libexpat1-dev:amd64 <none> 2.2.10-2+deb11u3
2022-08-02 04:33:35 status half-installed libexpat1-dev:amd64 2.2.10-2+deb11u3
2022-08-02 04:33:35 status unpacked libexpat1-dev:amd64 2.2.10-2+deb11u3
2022-08-02 04:33:35 install libaprutil1-dev:amd64 <none> 1.6.1-5
2022-08-02 04:33:35 status half-installed libaprutil1-dev:amd64 1.6.1-5
2022-08-02 04:33:35 status unpacked libaprutil1-dev:amd64 1.6.1-5
2022-08-02 04:33:35 install libbrotli1:amd64 <none> 1.0.9-2+b2
